FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
87,-0.008529,0.11186,-0.080876,-0.14579,-0.10114,-0.0205,-0.29973,-0.20321,0.1185,0.13594,-0.10401,-0.034301,0.29282,-0.18144,0.11242,-0.16571,-0.31241,0.15976,0.16331,-0.31485,0.14403,-0.073705,-0.51645,0.18537,0.067824,-0.51583,0.18149,-0.1432,-0.4474,-0.11765,0.12788,-0.43635,-0.12337,-0.11032,-0.71714,0.011095,0.10989,-0.71007,-0.002457
88,-0.00919,0.090628,-0.080853,-0.14661,-0.12063,-0.02047,-0.29914,-0.22174,0.11868,0.13462,-0.12395,-0.034253,0.29207,-0.19867,0.11313,-0.16383,-0.32943,0.1597,0.1601,-0.33167,0.145,-0.075104,-0.53507,0.18768,0.066391,-0.5345,0.18256,-0.14373,-0.45332,-0.11764,0.12808,-0.44116,-0.12316,-0.11032,-0.71905,0.011095,0.10989,-0.71126,-0.002513
89,-0.009755,0.07303,-0.080833,-0.14759,-0.13768,-0.020435,-0.29852,-0.23779,0.11914,0.13347,-0.14119,-0.034329,0.29133,-0.21353,0.11399,-0.16231,-0.34315,0.15964,0.16087,-0.34325,0.14674,-0.076123,-0.55096,0.1901,0.065152,-0.54993,0.18391,-0.14447,-0.45872,-0.11714,0.12836,-0.44555,-0.12262,-0.1103,-0.72046,0.011095,0.10987,-0.71213,-0.002347
90,-0.010822,0.060939,-0.080757,-0.14847,-0.14864,-0.020404,-0.29832,-0.24996,0.12039,0.13237,-0.15262,-0.03429,0.29065,-0.22229,0.11494,-0.16065,-0.35205,0.16094,0.16111,-0.35097,0.14857,-0.07604,-0.55977,0.19243,0.065141,-0.55878,0.18503,-0.14529,-0.46224,-0.11613,0.12867,-0.44851,-0.12197,-0.11027,-0.72172,0.011191,0.10985,-0.71254,-0.002169
91,-0.012046,0.049202,-0.080309,-0.14996,-0.15989,-0.020216,-0.29796,-0.26194,0.12214,0.13132,-0.1638,-0.034253,0.29021,-0.23345,0.11597,-0.15911,-0.36251,0.16243,0.16156,-0.3593,0.1507,-0.07594,-0.56792,0.19521,0.065199,-0.56718,0.18664,-0.14641,-0.46561,-0.11487,0.12914,-0.45117,-0.12126,-0.11038,-0.72283,0.011849,0.10984,-0.7129,-0.001958
92,-0.013427,0.039083,-0.07917,-0.15113,-0.16993,-0.019265,-0.2978,-0.27153,0.12403,0.13047,-0.17407,-0.034108,0.28984,-0.24277,0.1168,-0.15759,-0.37185,0.16281,0.16309,-0.36848,0.15297,-0.075834,-0.57495,0.19818,0.065282,-0.57418,0.18897,-0.14738,-0.46823,-0.11285,0.12984,-0.4536,-0.12049,-0.11056,-0.72364,0.012423,0.10986,-0.71313,-0.001489
93,-0.014853,0.02963,-0.078099,-0.1523,-0.1788,-0.018343,-0.29758,-0.2806,0.12607,0.12967,-0.18291,-0.033658,0.28936,-0.251,0.11717,-0.15587,-0.38084,0.16462,0.16257,-0.37734,0.1532,-0.075709,-0.58131,0.20142,0.065383,-0.58051,0.1918,-0.14849,-0.47045,-0.11065,0.13065,-0.45553,-0.11975,-0.11047,-0.72364,0.013127,0.10988,-0.71335,-0.000933
94,-0.016279,0.021177,-0.07711,-0.15343,-0.18674,-0.017373,-0.29682,-0.2888,0.12822,0.12903,-0.19054,-0.033199,0.28884,-0.2582,0.11742,-0.15438,-0.38884,0.16665,0.16193,-0.38516,0.15408,-0.075111,-0.58692,0.20427,0.065725,-0.58621,0.19433,-0.14956,-0.47198,-0.10856,0.13155,-0.45716,-0.11868,-0.11046,-0.7241,0.01401,0.10987,-0.71352,-0.000435
95,-0.017488,0.014317,-0.076397,-0.15448,-0.19339,-0.016373,-0.29638,-0.29608,0.13038,0.1284,-0.19654,-0.032676,0.28855,-0.26416,0.11775,-0.15366,-0.3951,0.16833,0.16126,-0.39237,0.15478,-0.074426,-0.5916,0.20667,0.066205,-0.59072,0.19647,-0.15058,-0.47272,-0.10664,0.13256,-0.45852,-0.11732,-0.11041,-0.72434,0.014904,0.10978,-0.71366,-7.1e-05
96,-0.018575,0.008158,-0.075689,-0.15554,-0.19905,-0.015171,-0.29571,-0.30268,0.13318,0.1279,-0.20193,-0.031979,0.28811,-0.26951,0.11827,-0.1528,-0.4015,0.17048,0.1628,-0.39903,0.15733,-0.073854,-0.59587,0.20887,0.066616,-0.59489,0.19849,-0.15159,-0.47317,-0.10474,0.13366,-0.45934,-0.11592,-0.11069,-0.72471,0.015483,0.10963,-0.71385,0.000281
97,-0.01954,0.003379,-0.075079,-0.15637,-0.2037,-0.014243,-0.29495,-0.30804,0.13598,0.12762,-0.20566,-0.031207,0.28763,-0.27367,0.11955,-0.15155,-0.40647,0.17221,0.16569,-0.4037,0.16015,-0.073451,-0.59932,0.21046,0.066929,-0.59816,0.20021,-0.15241,-0.47317,-0.1031,0.13474,-0.45978,-0.11464,-0.11106,-0.72505,0.015825,0.10945,-0.7141,0.000699
98,-0.020413,0.000319,-0.074476,-0.15694,-0.20695,-0.013376,-0.29499,-0.31104,0.13866,0.12734,-0.20835,-0.030339,0.28694,-0.27657,0.12116,-0.15145,-0.40971,0.17456,0.16844,-0.40676,0.16325,-0.073146,-0.60203,0.2116,0.067162,-0.60073,0.20142,-0.15307,-0.47317,-0.10175,0.13558,-0.46016,-0.11335,-0.11139,-0.72522,0.01648,0.10926,-0.71434,0.000808
99,-0.020898,-0.001079,-0.073969,-0.15732,-0.20915,-0.012573,-0.29492,-0.31104,0.14051,0.12701,-0.20957,-0.029501,0.28643,-0.27821,0.12305,-0.1514,-0.41004,0.17591,0.17106,-0.40852,0.16626,-0.072955,-0.6042,0.21214,0.06733,-0.60265,0.20232,-0.15364,-0.47317,-0.1007,0.13625,-0.46052,-0.11205,-0.11168,-0.72531,0.017057,0.1091,-0.71458,0.000941
100,-0.021224,-0.001079,-0.073576,-0.15732,-0.20915,-0.012133,-0.29487,-0.31104,0.1419,0.12678,-0.20957,-0.028656,0.28618,-0.27821,0.12436,-0.15139,-0.41004,0.17635,0.17366,-0.40852,0.16879,-0.072875,-0.6042,0.21214,0.067461,-0.60265,0.20232,-0.15368,-0.47311,-0.099846,0.13644,-0.46073,-0.11092,-0.11174,-0.72511,0.017059,0.10898,-0.71478,0.001045
101,-0.021234,-0.001079,-0.073145,-0.1573,-0.20915,-0.011628,-0.29482,-0.31104,0.14323,0.12671,-0.20957,-0.027744,0.28594,-0.27821,0.1257,-0.15103,-0.41004,0.17634,0.17413,-0.40852,0.16968,-0.072845,-0.6042,0.21214,0.067564,-0.60265,0.20231,-0.15367,-0.47269,-0.099603,0.13647,-0.46073,-0.11021,-0.11173,-0.7251,0.017111,0.10892,-0.71498,0.001169
102,-0.021221,-0.001079,-0.072778,-0.15729,-0.20915,-0.011123,-0.29595,-0.30959,0.14327,0.12676,-0.20957,-0.026564,0.28594,-0.27821,0.12704,-0.15233,-0.41004,0.17697,0.17414,-0.40852,0.16986,-0.072845,-0.6042,0.21214,0.067564,-0.60265,0.20231,-0.15367,-0.472,-0.099603,0.13648,-0.46073,-0.10984,-0.11182,-0.72516,0.017114,0.10887,-0.71516,0.001286
103,-0.021209,0.001672,-0.072434,-0.15727,-0.20778,-0.010651,-0.29668,-0.30549,0.1433,0.12679,-0.20674,-0.025533,0.28579,-0.27513,0.12789,-0.15397,-0.40669,0.17716,0.17414,-0.40769,0.16986,-0.072877,-0.60417,0.21123,0.067547,-0.60215,0.20183,-0.15367,-0.47148,-0.099603,0.13648,-0.46073,-0.10984,-0.11231,-0.72521,0.016805,0.10879,-0.71531,0.001595
104,-0.021195,0.006757,-0.072062,-0.15714,-0.20524,-0.010592,-0.29663,-0.30025,0.1433,0.12683,-0.20195,-0.024445,0.28584,-0.27079,0.12853,-0.1546,-0.40176,0.17718,0.17334,-0.40321,0.16856,-0.072936,-0.60303,0.20959,0.067507,-0.60038,0.2007,-0.15356,-0.47097,-0.099608,0.13636,-0.46064,-0.10983,-0.11267,-0.72521,0.016299,0.10874,-0.71536,0.001675
105,-0.020907,0.01431,-0.07208,-0.15617,-0.1979,-0.010627,-0.29659,-0.29167,0.14326,0.12706,-0.19554,-0.023797,0.28609,-0.26532,0.12852,-0.15585,-0.39411,0.17711,0.17333,-0.39753,0.16845,-0.072964,-0.59998,0.20694,0.067515,-0.597,0.199,-0.15315,-0.47024,-0.099955,0.13624,-0.46041,-0.10983,-0.1129,-0.72506,0.015745,0.10874,-0.71536,0.001675
106,-0.020439,0.024152,-0.072212,-0.15514,-0.1893,-0.010664,-0.29617,-0.28249,0.14309,0.12752,-0.18651,-0.023667,0.28609,-0.25858,0.12852,-0.15578,-0.38636,0.17642,0.17333,-0.38978,0.16819,-0.073011,-0.59456,0.20391,0.067513,-0.59148,0.19681,-0.15253,-0.4694,-0.10057,0.13604,-0.45997,-0.11008,-0.11292,-0.72484,0.015097,0.10874,-0.71536,0.001675
107,-0.019602,0.036427,-0.07234,-0.15409,-0.1779,-0.010701,-0.2958,-0.27154,0.14253,0.12836,-0.17565,-0.023697,0.28645,-0.24972,0.12851,-0.15547,-0.37687,0.17431,0.17331,-0.38028,0.16769,-0.07313,-0.58619,0.20057,0.067488,-0.58319,0.19455,-0.15155,-0.46802,-0.10193,0.13562,-0.45899,-0.11112,-0.11291,-0.7241,0.01454,0.10876,-0.71536,0.001675
108,-0.018172,0.058877,-0.072586,-0.15219,-0.15734,-0.011209,-0.29607,-0.25125,0.13966,0.13044,-0.15424,-0.023771,0.2879,-0.23166,0.12707,-0.15733,-0.35909,0.17031,0.17383,-0.36149,0.16633,-0.071517,-0.56625,0.19691,0.069253,-0.56307,0.1919,-0.14965,-0.4647,-0.10498,0.13496,-0.45608,-0.11405,-0.11296,-0.72402,0.013696,0.1089,-0.71489,0.000739
109,-0.016391,0.084948,-0.072746,-0.15027,-0.13557,-0.011897,-0.29617,-0.22793,0.13633,0.13271,-0.13079,-0.023852,0.28972,-0.21181,0.12501,-0.15779,-0.33748,0.1658,0.17509,-0.34158,0.16458,-0.069828,-0.54549,0.19282,0.0711,-0.54188,0.18865,-0.14749,-0.461,-0.10826,0.13432,-0.45272,-0.11721,-0.11298,-0.72317,0.012982,0.10903,-0.71421,-0.00029
110,-0.014355,0.11282,-0.073147,-0.14819,-0.10856,-0.012441,-0.29615,-0.20411,0.13291,0.13496,-0.10509,-0.024152,0.2917,-0.19006,0.12257,-0.15978,-0.31474,0.16208,0.1767,-0.31871,0.16217,-0.068041,-0.5215,0.18861,0.073051,-0.51817,0.18545,-0.14491,-0.45687,-0.11151,0.1339,-0.44894,-0.12042,-0.11301,-0.72216,0.012265,0.10918,-0.71347,-0.001282
111,-0.012161,0.14235,-0.073802,-0.14601,-0.080835,-0.013225,-0.29602,-0.17796,0.12911,0.13779,-0.076988,-0.024646,0.2938,-0.16704,0.11968,-0.16153,-0.29051,0.15725,0.1791,-0.29579,0.15895,-0.066203,-0.49608,0.18439,0.074999,-0.49254,0.18223,-0.1422,-0.45252,-0.11479,0.13358,-0.44458,-0.12366,-0.11282,-0.72085,0.011692,0.10935,-0.71261,-0.002204
112,-0.009692,0.17572,-0.074401,-0.14356,-0.048673,-0.014107,-0.29575,-0.14896,0.12527,0.14081,-0.04529,-0.025084,0.2967,-0.13916,0.11625,-0.16337,-0.26306,0.15222,0.18161,-0.26832,0.15378,-0.064184,-0.46594,0.17977,0.076941,-0.46265,0.17865,-0.13966,-0.44775,-0.11788,0.13345,-0.43975,-0.12683,-0.11249,-0.71934,0.011147,0.1095,-0.71171,-0.003238
113,-0.007326,0.2121,-0.074912,-0.14112,-0.013145,-0.015091,-0.29427,-0.11772,0.12077,0.14417,-0.010912,-0.02579,0.30029,-0.10828,0.11179,-0.16383,-0.23559,0.14631,0.18403,-0.23729,0.1487,-0.061666,-0.4329,0.17489,0.079239,-0.43017,0.17458,-0.13728,-0.4412,-0.1207,0.13329,-0.43408,-0.12969,-0.1122,-0.71741,0.010593,0.10967,-0.71068,-0.004187
