FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
180,0.013894,0.78155,0.045587,-0.13607,0.55617,0.050514,-0.25281,0.7731,0.021088,0.16954,0.54609,0.04144,0.28858,0.76301,0.01725,-0.31099,1.0108,-0.011996,0.34876,0.99818,-0.032338,-0.056332,0.060741,0.001194,0.085775,0.056148,-0.009784,-0.10872,-0.31296,-0.036564,0.12106,-0.31924,-0.027209,-0.1305,-0.73642,-0.0418,0.13484,-0.73739,-0.05678
181,0.014106,0.78173,0.04582,-0.13559,0.55617,0.050044,-0.25215,0.7731,0.021369,0.16993,0.54609,0.041117,0.28871,0.76301,0.017507,-0.31009,1.0108,-0.011081,0.34922,0.99818,-0.03182,-0.05629,0.060964,0.000206,0.085827,0.056185,-0.011018,-0.10881,-0.31263,-0.034334,0.12089,-0.31901,-0.025316,-0.13062,-0.73581,-0.039251,0.13479,-0.73745,-0.055536
182,0.014301,0.78173,0.045782,-0.13514,0.55617,0.049452,-0.2515,0.7731,0.021573,0.17031,0.54609,0.040623,0.28885,0.76301,0.017496,-0.30924,1.0108,-0.010464,0.34974,0.99818,-0.031345,-0.056248,0.060985,-0.000799,0.085879,0.056185,-0.012264,-0.10889,-0.31249,-0.03241,0.12073,-0.31892,-0.023802,-0.13066,-0.7357,-0.03849,0.13474,-0.73747,-0.054335
183,0.014533,0.78173,0.045376,-0.13463,0.55617,0.048802,-0.25093,0.7731,0.021576,0.17072,0.54609,0.039779,0.289,0.76301,0.017208,-0.30848,1.0108,-0.010432,0.35036,0.99818,-0.030803,-0.056218,0.061151,-0.001842,0.085932,0.056263,-0.013519,-0.10896,-0.31222,-0.030898,0.12063,-0.31879,-0.022826,-0.13069,-0.7356,-0.0378,0.1347,-0.73747,-0.053306
184,0.015198,0.78173,0.044944,-0.13387,0.55572,0.048422,-0.25092,0.77269,0.0214,0.17128,0.5458,0.039155,0.28959,0.7625,0.016931,-0.3073,1.0105,-0.010382,0.35162,0.99768,-0.030867,-0.056208,0.061211,-0.002714,0.085988,0.056263,-0.014564,-0.10947,-0.3121,-0.029743,0.12069,-0.31879,-0.022478,-0.13075,-0.7356,-0.037587,0.13447,-0.73751,-0.052968
185,0.015922,0.78173,0.044683,-0.13318,0.55498,0.047899,-0.25091,0.77208,0.020985,0.17184,0.54525,0.038551,0.29036,0.76167,0.01667,-0.30629,1.01,-0.010567,0.35306,0.99685,-0.031259,-0.056052,0.061211,-0.003536,0.086155,0.056176,-0.015564,-0.11003,-0.3121,-0.029709,0.12086,-0.31879,-0.022471,-0.13104,-0.73554,-0.037105,0.13429,-0.73758,-0.052928
186,0.017128,0.78141,0.044041,-0.13245,0.5542,0.047378,-0.25088,0.77122,0.02032,0.17302,0.54445,0.038013,0.29301,0.76017,0.016392,-0.30532,1.0092,-0.012039,0.35542,0.99559,-0.031757,-0.055921,0.061156,-0.004643,0.086311,0.056008,-0.01686,-0.11074,-0.3121,-0.029739,0.12111,-0.31879,-0.02246,-0.13132,-0.73554,-0.036966,0.13406,-0.73772,-0.052938
187,0.018688,0.77948,0.043081,-0.13163,0.55193,0.04652,-0.25169,0.76787,0.019384,0.17426,0.54204,0.037442,0.29792,0.75578,0.015807,-0.30502,1.0062,-0.014098,0.35877,0.99167,-0.031616,-0.055868,0.059613,-0.005825,0.0864,0.054343,-0.018173,-0.11121,-0.31348,-0.029759,0.12134,-0.32026,-0.022451,-0.13151,-0.73593,-0.036974,0.13374,-0.73922,-0.052951
188,0.02139,0.77717,0.04077,-0.13041,0.54891,0.044654,-0.25662,0.75767,0.017128,0.17654,0.53965,0.036512,0.30821,0.74577,0.015277,-0.304,0.99406,-0.019986,0.36573,0.97769,-0.032422,-0.055361,0.057572,-0.007787,0.086781,0.052037,-0.019629,-0.11121,-0.31516,-0.029759,0.12166,-0.32247,-0.023405,-0.13172,-0.73643,-0.036983,0.13339,-0.74089,-0.052966
189,0.025064,0.7747,0.037555,-0.1289,0.54595,0.042366,-0.26137,0.74538,0.014766,0.17935,0.53756,0.035373,0.31943,0.73327,0.01525,-0.30306,0.97558,-0.026473,0.3746,0.95809,-0.033797,-0.054482,0.055107,-0.009963,0.08773,0.049125,-0.021328,-0.11119,-0.31723,-0.030319,0.12219,-0.32542,-0.024875,-0.132,-0.73734,-0.036995,0.13294,-0.74273,-0.053244
190,0.031119,0.77179,0.032365,-0.1229,0.53981,0.037057,-0.26321,0.72213,0.01179,0.18396,0.53446,0.033442,0.33356,0.71227,0.015553,-0.30206,0.94438,-0.035703,0.38596,0.93223,-0.036326,-0.051784,0.051329,-0.013376,0.090443,0.044955,-0.023859,-0.11112,-0.32028,-0.031968,0.12357,-0.32973,-0.027985,-0.1325,-0.73871,-0.037775,0.1325,-0.74452,-0.053869
191,0.038252,0.76856,0.026374,-0.11686,0.53368,0.031749,-0.26271,0.69596,0.008663,0.1891,0.53114,0.031437,0.35053,0.68927,0.016268,-0.30017,0.90947,-0.047229,0.39751,0.90549,-0.039476,-0.048472,0.047311,-0.017197,0.093802,0.04057,-0.026902,-0.1109,-0.3236,-0.03466,0.12559,-0.33424,-0.031963,-0.13255,-0.74073,-0.039387,0.132,-0.74652,-0.055085
192,0.046591,0.766,0.019638,-0.10932,0.52715,0.025614,-0.26218,0.66372,0.005121,0.19509,0.52719,0.028909,0.36912,0.66165,0.017253,-0.29587,0.86879,-0.060799,0.40948,0.87545,-0.044413,-0.044144,0.042849,-0.021542,0.098189,0.035598,-0.030478,-0.11009,-0.32724,-0.037931,0.12817,-0.33931,-0.036326,-0.13242,-0.74253,-0.040921,0.13211,-0.7478,-0.056436
193,0.056182,0.76492,0.011733,-0.10133,0.52141,0.018915,-0.2616,0.62818,0.001584,0.20221,0.52367,0.025852,0.38725,0.63254,0.018318,-0.29024,0.82246,-0.076235,0.42337,0.83776,-0.049617,-0.03834,0.039098,-0.026645,0.10395,0.03175,-0.034845,-0.10825,-0.33026,-0.042046,0.13162,-0.34328,-0.04126,-0.13236,-0.74433,-0.042455,0.13218,-0.74794,-0.057416
194,0.068751,0.76335,0.001791,-0.089513,0.51519,0.009929,-0.25641,0.58272,-0.001853,0.21189,0.52003,0.022255,0.4025,0.5948,0.017847,-0.28274,0.76165,-0.093071,0.43749,0.79053,-0.059268,-0.029537,0.035365,-0.03352,0.11234,0.027814,-0.040071,-0.10238,-0.3328,-0.050489,0.13666,-0.34737,-0.04697,-0.13223,-0.74433,-0.044897,0.13223,-0.74857,-0.058507
195,0.082018,0.76166,-0.009638,-0.076325,0.50855,-0.000647,-0.24858,0.53664,-0.00472,0.22242,0.51579,0.017805,0.41789,0.55651,0.017358,-0.27395,0.69557,-0.10585,0.45079,0.74047,-0.071467,-0.019459,0.031093,-0.040856,0.12212,0.023707,-0.045602,-0.09442,-0.33322,-0.060928,0.14326,-0.35173,-0.052551,-0.13065,-0.74433,-0.050084,0.13177,-0.74904,-0.059688
196,0.096475,0.75992,-0.021757,-0.062556,0.50109,-0.01159,-0.23853,0.48537,-0.007611,0.23389,0.5112,0.012803,0.43208,0.51709,0.016399,-0.26377,0.62316,-0.1167,0.46353,0.68262,-0.084424,-0.007521,0.026478,-0.04904,0.13355,0.019247,-0.051501,-0.083204,-0.33393,-0.075332,0.15074,-0.35627,-0.057938,-0.12608,-0.7433,-0.056411,0.1317,-0.74904,-0.059691
197,0.11587,0.75796,-0.03797,-0.044169,0.49416,-0.026761,-0.21684,0.43777,-0.010274,0.24874,0.50519,0.003757,0.44092,0.47654,0.015122,-0.24619,0.53914,-0.12403,0.47343,0.61571,-0.10048,0.009742,0.022095,-0.060367,0.15079,0.014738,-0.060372,-0.057389,-0.33496,-0.10419,0.1588,-0.36062,-0.070956,-0.09832,-0.74144,-0.080528,0.1316,-0.74951,-0.060783
198,0.13742,0.75603,-0.056522,-0.02406,0.48753,-0.044319,-0.19178,0.39253,-0.013613,0.26551,0.49853,-0.007708,0.44904,0.4323,0.011914,-0.22273,0.45743,-0.13242,0.48268,0.55025,-0.12009,0.029792,0.018048,-0.074128,0.17074,0.010861,-0.070714,-0.025459,-0.33612,-0.13925,0.17105,-0.36439,-0.083734,-0.05894,-0.73953,-0.11811,0.1314,-0.74916,-0.060792
