timestamp_ms,classification,confidence,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
1776843395453,Invalid,0.700,0.0510,-0.3180,-0.3598,0.1157,-0.3070,-0.2100,-0.1199,-0.3574,-0.2390,0.0310,-0.2054,-0.2004,-0.1230,-0.3031,-0.2983,0.0274,-0.2142,-0.2471,-0.0700,-0.3928,-0.3887,0.0953,0.0050,0.0011,-0.0964,-0.0057,-0.0006,0.1828,0.3397,-0.0575,-0.2163,0.3442,-0.0722,0.1589,0.6835,0.0842,-0.2013,0.6923,0.0830
1776843395709,Deep,0.800,0.0156,-0.5812,-0.1428,0.1636,-0.4689,-0.0570,-0.1574,-0.4687,-0.0638,0.1767,-0.4469,-0.3048,-0.1738,-0.4562,-0.3193,0.0634,-0.5207,-0.5064,-0.0942,-0.5415,-0.4887,0.1130,-0.0053,-0.0036,-0.1134,0.0048,0.0043,0.2926,0.1033,-0.3132,-0.2580,0.1755,-0.2986,0.1658,0.4650,-0.1512,-0.1973,0.4950,-0.1232
1776843395956,Deep,0.800,-0.0286,-0.5232,-0.2981,0.1583,-0.4300,-0.1735,-0.1640,-0.4196,-0.1662,0.1189,-0.4549,-0.3922,-0.1814,-0.4759,-0.3946,0.0260,-0.6409,-0.5581,-0.1712,-0.7160,-0.5265,0.1106,-0.0105,-0.0056,-0.1115,0.0101,0.0061,0.2976,-0.0499,-0.3455,-0.2225,0.0120,-0.3352,0.2261,0.2696,-0.1449,-0.1636,0.2706,-0.1082
1776843396204,Deep,0.800,-0.0150,-0.5366,-0.2460,0.1549,-0.4261,-0.1284,-0.1721,-0.4121,-0.1352,0.1236,-0.4046,-0.3389,-0.1979,-0.4064,-0.3546,0.0474,-0.5585,-0.5185,-0.1485,-0.6101,-0.4944,0.1123,-0.0051,-0.0080,-0.1131,0.0046,0.0086,0.2942,0.0366,-0.3374,-0.2402,0.0637,-0.3203,0.2180,0.3260,-0.1109,-0.1778,0.3106,-0.0605
1776843396457,Shallow,0.800,0.0000,-0.4401,-0.3012,0.1313,-0.4021,-0.1818,-0.1665,-0.4683,-0.1661,0.0893,-0.3339,-0.2933,-0.1822,-0.4454,-0.2795,0.0354,-0.4499,-0.4392,-0.1301,-0.5260,-0.4183,0.1081,0.0027,-0.0089,-0.1090,-0.0033,0.0093,0.2548,0.2414,-0.1929,-0.2610,0.2820,-0.1850,0.1441,0.5949,-0.0331,-0.2267,0.6290,-0.0223
1776843396705,Invalid,0.700,-0.0066,-0.1251,-0.5603,0.1200,-0.1859,-0.3466,-0.1608,-0.1630,-0.3433,0.0646,-0.0712,-0.1966,-0.1904,0.0284,-0.2558,0.0318,-0.0072,-0.1103,-0.1965,0.2056,-0.2456,0.1066,-0.0016,-0.0055,-0.1079,0.0010,0.0065,0.1820,0.3601,-0.0478,-0.2345,0.3714,-0.0233,0.1522,0.6875,0.0901,-0.2341,0.7391,0.0980
1776843396955,Invalid,0.700,0.0322,-0.1591,-0.5602,0.1231,-0.2066,-0.3506,-0.1409,-0.1834,-0.3583,0.0987,-0.0078,-0.2342,-0.1608,0.0331,-0.2722,0.0483,0.1941,-0.2070,-0.1731,0.2590,-0.2611,0.0979,-0.0031,-0.0039,-0.0991,0.0026,0.0048,0.1804,0.3684,-0.0735,-0.2191,0.3689,-0.0540,0.1563,0.7049,0.0545,-0.2110,0.7525,0.0560
1776843397205,Shallow,0.800,0.0307,-0.4371,-0.2700,0.1075,-0.4093,-0.1357,-0.1575,-0.4347,-0.1494,0.0557,-0.2734,-0.1496,-0.1603,-0.2784,-0.2332,0.0069,-0.2893,-0.2307,-0.1066,-0.2681,-0.3950,0.1010,-0.0015,-0.0033,-0.1021,0.0010,0.0038,0.2143,0.2842,-0.1359,-0.2278,0.3254,-0.1397,0.1595,0.6488,0.0068,-0.1891,0.6686,0.0125
1776843397457,Deep,0.800,-0.0179,-0.5602,-0.1806,0.1507,-0.4556,-0.0760,-0.1780,-0.4491,-0.0583,0.1431,-0.4414,-0.2871,-0.1856,-0.4167,-0.2519,0.0357,-0.5916,-0.4660,-0.1403,-0.5761,-0.4112,0.1143,-0.0054,-0.0097,-0.1150,0.0049,0.0103,0.2941,0.1062,-0.3209,-0.2655,0.1569,-0.2967,0.1682,0.4507,-0.1298,-0.1827,0.4612,-0.0926
1776843397706,Deep,0.800,-0.0175,-0.5380,-0.2281,0.1510,-0.4414,-0.1199,-0.1664,-0.4500,-0.1307,0.1130,-0.4690,-0.3524,-0.1983,-0.4713,-0.3972,0.0742,-0.6288,-0.5430,-0.1605,-0.6563,-0.6009,0.1103,0.0012,-0.0086,-0.1111,-0.0017,0.0091,0.2960,-0.0649,-0.3594,-0.2267,-0.0446,-0.3433,0.2107,0.2623,-0.1810,-0.1688,0.2368,-0.1371
